DateTime,AlertDateTime,Case,Status
"2026-08-04T16:27:47.1042631Z","2026-08-04 21:00:00 UTC+07","26512","Confirm"
"2026-08-04T23:38:41.5555086Z","2026-08-05 05:52:30 UTC+07","26522","Timeout"
"2026-08-05T00:55:40.3800096Z","2026-08-05 07:38:30 UTC+07","26529","Block"
"2026-08-05T01:58:32.2759743Z","2026-08-05 08:10:00 UTC+07","26530","Timeout"
"2026-08-05T01:58:36.5136309Z","2026-08-05 08:10:00 UTC+07","26531","Timeout"
"2026-08-05T02:08:41.4721303Z","2026-08-05 08:18:00 UTC+07","26533","Timeout"
"2026-08-05T02:10:02.7369697Z","2026-08-05 08:28:00 UTC+07","26533","Timeout"
"2026-08-05T02:17:31.7576170Z","2026-08-05 09:01:00 UTC+07","26537","Confirm"
"2026-08-05T02:33:09.7763917Z","2026-08-05 09:17:00 UTC+07","26538","Confirm"
"2026-08-05T03:28:24.8754981Z","2026-08-05 10:05:30 UTC+07","26540","Cancel"
"2026-08-05T04:47:18.8853159Z","2026-08-05 11:02:00 UTC+07","26558","Timeout"
"2026-08-05T04:58:24.0163176Z","2026-08-05 11:42:00 UTC+07","26563","Confirm"
"2026-08-05T05:27:00.4791753Z","2026-08-05 11:52:00 UTC+07","26563","Timeout"
"2026-08-05T07:13:47.3552462Z","2026-08-05 13:57:00 UTC+07","26569","Confirm"
"2026-08-05T07:13:51.2005588Z","2026-08-05 13:47:00 UTC+07","26569","Confirm"
"2026-08-05T07:42:55.7653666Z","2026-08-05 13:57:00 UTC+07","26570","Timeout"
"2026-08-05T08:13:54.1180349Z","2026-08-05 14:47:30 UTC+07","26576","Cancel"
"2026-08-05T08:47:44.1432537Z","2026-08-05 15:30:00 UTC+07","26579","Cancel"
"2026-08-05T11:28:55.0659933Z","2026-08-05 15:18:00 UTC+07","26586","Timeout"
"2026-08-05T14:32:10.1956345Z","2026-08-05 21:07:00 UTC+07","26589","Cancel"
"2026-08-06T03:52:54.8893948Z","2026-08-06 10:34:00 UTC+07","26605","Cancel"
"2026-08-06T03:53:16.0766993Z","2026-08-06 10:37:00 UTC+07","26606","Confirm"
"2026-08-06T04:45:13.5157402Z","2026-08-06 10:47:00 UTC+07","26607","Timeout"
"2026-08-06T05:09:53.8321629Z","2026-08-06 11:19:00 UTC+07","26609","Block"
"2026-08-06T05:19:03.4241265Z","2026-08-06 11:35:00 UTC+07","26612","Timeout"
"2026-08-06T06:41:19.2303530Z","2026-08-06 13:21:00 UTC+07","26619","Confirm"
"2026-08-06T06:41:20.8327385Z","2026-08-06 13:34:00 UTC+07","26619","Confirm"
"2026-08-06T07:10:03.4750899Z","2026-08-06 12:06:00 UTC+07","26621","Confirm"
"2026-08-06T07:37:07.9450989Z","2026-08-06 14:19:00 UTC+07","26627","Confirm"
"2026-08-06T08:58:53.9495498Z","2026-08-06 15:13:00 UTC+07","26638","Timeout"
"2026-08-06T08:59:07.3833065Z","2026-08-06 14:36:00 UTC+07","26645","Confirm"
"2026-08-06T09:28:04.3383077Z","2026-08-06 13:36:00 UTC+07","26644","Timeout"
"2026-08-06T10:54:07.9911269Z","2026-08-05 18:00:00 UTC+07","26648","Confirm"
"2026-08-06T10:58:46.1922587Z","2026-08-06 16:00:00 UTC+07","26649","Confirm"
"2026-08-06T11:11:58.8550471Z","2026-08-06 17:08:14 UTC+07","26647","Timeout"
"2026-08-06T11:54:14.9757891Z","2026-05-25 09:58:50 UTC+07","26650","Confirm"
"2026-08-06T12:33:22.3221037Z","2026-08-06 17:08:15 UTC+07","26651","Timeout"
"2026-08-06T12:34:51.3779707Z","2026-08-06 18:42:00 UTC+07","26652","Cancel"
"2026-08-06T13:57:08.7791986Z","2026-05-15 16:32:39 UTC+07","26658","Timeout"
"2026-08-06T13:57:11.2011428Z","2026-05-15 16:32:56 UTC+07","26659","Timeout"
"2026-08-06T13:57:14.0007193Z","2026-05-15 16:33:14 UTC+07","26660","Timeout"
"2026-08-06T13:57:15.7713246Z","2026-05-15 16:31:14 UTC+07","26657","Timeout"
"2026-08-06T13:57:32.6299073Z","2026-05-15 16:34:00 UTC+07","26661","Timeout"
"2026-08-06T15:25:48.6923923Z","2026-05-21 15:52:26 UTC+07","26670","Timeout"
"2026-08-06T17:03:55.0891184Z","2026-07-02 10:33:54 UTC+07","26671","Timeout"
